Churn,male_cnt,female_cnt,near,not_near,near_rate,with_ptn,no_ptn,with_ptn_rate,promo,no_promo,min_age,max_age,avg_age,avg_Add_charge,avg_months_left,avg_lifetime,avg_classes
0,1499,1440,2566,373,0.87,1570,1369,0.53,1039,1900,19,41,29.98,158.45,5.28,4.71,2.02
1,542,519,815,246,0.77,377,684,0.36,195,866,18,38,26.99,115.08,1.66,0.99,1.47
